KPN_RS03500	GO:0006805,GO:0009398,GO:0016668
KPN_RS03510	GO:0032784,GO:0003677,GO:0070063
KPN_RS03520	GO:0015740,GO:0015556
KPN_RS03535	GO:0016020
KPN_RS03550	GO:0009107,GO:0016992,GO:0051539,GO:1904047
KPN_RS03555	GO:0006355,GO:0003700
KPN_RS03560	GO:0009249,GO:0033819
KPN_RS03570	GO:0006508,GO:0009002
KPN_RS03575	GO:0042834
KPN_RS03585	GO:0009252,GO:0008658,GO:0009002,GO:0016020
KPN_RS03590	GO:0006364,GO:0008168
KPN_RS03595	GO:0017148,GO:0043022
KPN_RS03600	GO:0009236,GO:0043755
KPN_RS03605	GO:0009435,GO:0016779
KPN_RS03610	GO:0006260,GO:0003887,GO:0009360
KPN_RS03615	GO:0043165,GO:0019867
KPN_RS03620	GO:0006429,GO:0004823,GO:0005737
KPN_RS03635	GO:0006811,GO:0015031,GO:0015288,GO:0046930
KPN_RS03645	GO:0005524,GO:0016887,GO:0042626,GO:0140359
KPN_RS03655	GO:0006865,GO:0042626,GO:0140359
KPN_RS03665	GO:0006497,GO:0042158,GO:0016410,GO:0016020
KPN_RS03670	GO:0050660
KPN_RS03675	GO:0042254,GO:0004540,GO:0046872
KPN_RS03680	GO:0005524
KPN_RS03685	GO:0006400,GO:0016782,GO:0051539,GO:1904047
KPN_RS03690	GO:0006744,GO:0016709
KPN_RS03730	GO:0006529,GO:0004066
KPN_RS03740	GO:0005975,GO:0006355,GO:0003677,GO:0003700
KPN_RS03745	GO:0006044,GO:0008448
KPN_RS03750	GO:0006044,GO:0004342
KPN_RS03755	GO:0009401,GO:0008982,GO:0015572,GO:0016020
KPN_RS03760	GO:0006425,GO:0004819,GO:0005737
KPN_RS03780	GO:0055085,GO:0022857
KPN_RS03785	GO:0006355,GO:0003700
KPN_RS03810	GO:0032297,GO:0003677
KPN_RS03815	GO:0005975,GO:0004614
KPN_RS03825	GO:0000160,GO:0006355,GO:0003677
KPN_RS03830	GO:0000160,GO:0000155
KPN_RS03835	GO:0006813,GO:0008556,GO:0016020
KPN_RS03840	GO:0006813,GO:0008556,GO:0031004
KPN_RS03845	GO:0006813,GO:0008556,GO:0031004
KPN_RS03860	GO:0006857,GO:0055085,GO:1904680,GO:0016020
KPN_RS03870	GO:0005975,GO:0006807,GO:0017168
KPN_RS03875	GO:0005975,GO:0006807,GO:0017168
